SnomedCTConceptId,Description
111552007,Diabetes mellitus without complication (disorder)
112991000000101,Lipoatrophic diabetes mellitus without complication (disorder)
11530004,Brittle diabetes mellitus (finding)
127012008,Lipoatrophic diabetes (disorder)
127013003,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder)
127014009,Diabetic peripheral angiopathy (disorder)
1481000119100,Diabetes mellitus type 2 without retinopathy (disorder)
190368000,Type I diabetes mellitus with ulcer (disorder)
190369008,Type I diabetes mellitus with gangrene (disorder)
190372001,Type I diabetes mellitus maturity onset (disorder)
190388001,Type II diabetes mellitus with multiple complications (disorder)
190389009,Type II diabetes mellitus with ulcer (disorder)
190390000,Type II diabetes mellitus with gangrene (disorder)
201724008,Diabetic neuropathic arthropathy (disorder)
230577008,Mononeuropathy co-occurrent and due to diabetes mellitus (disorder)
237599002,Insulin treated type 2 diabetes mellitus (disorder)
237601000,Secondary endocrine diabetes mellitus (disorder)
237604008,"Maturity onset diabetes of the young, type 2 (disorder)"
237613005,Hyperproinsulinemia (disorder)
237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)
237619009,Diabetes-deafness syndrome maternally transmitted (disorder)
268519009,Diabetic - poor control (finding)
284449005,Congenital total lipodystrophy (disorder)
290002008,Brittle type I diabetes mellitus (finding)
313435000,Type I diabetes mellitus without complication (disorder)
313436004,Type II diabetes mellitus without complication (disorder)
314771006,Type I diabetes mellitus with hypoglycemic coma (disorder)
314893005,Type I diabetes mellitus with arthropathy (disorder)
314902007,Type 2 diabetes mellitus with peripheral angiopathy (disorder)
314903002,Type II diabetes mellitus with arthropathy (disorder)
314904008,Type II diabetes mellitus with neuropathic arthropathy (disorder)
335621000000101,Maternally inherited diabetes mellitus (disorder)
368561000119102,Hyperosmolarity due to type 1 diabetes mellitus (disorder)
368711000119106,Mild nonproliferative retinopathy co-occurrent and due to secondary diabetes mellitus (disorder)
385041000000108,Diabetes mellitus with multiple complications (disorder)
395204000,Hyperosmolar non-ketotic state in type 2 diabetes mellitus (disorder)
401110002,Type 1 diabetes mellitus with persistent microalbuminuria (disorder)
408540003,Diabetes mellitus caused by non-steroid drugs (disorder)
413183008,Diabetes mellitus caused by non-steroid drugs without complication (disorder)
420270002,Ketoacidosis in type I diabetes mellitus (disorder)
420279001,Renal disorder due to type 2 diabetes mellitus (disorder)
420436000,Mononeuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
420486006,Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
420514000,Persistent proteinuria associated with type I diabetes mellitus (disorder)
420715001,Persistent microalbuminuria associated with type II diabetes mellitus (disorder)
420756003,Cataract co-occurrent and due to diabetes mellitus type 2 (disorder)
420789003,Retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
420825003,Gangrene associated with type I diabetes mellitus (disorder)
420918009,Mononeuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
421075007,Ketoacidotic coma in type I diabetes mellitus (disorder)
421165007,Diabetic oculopathy associated with type I diabetes mellitus (disorder)
421326000,Neurological disorder co-occurrent and due to type 2 diabetes mellitus (disorder)
421365002,Peripheral circulatory disorder associated with type I diabetes mellitus (disorder)
421468001,Neurological disorder co-occurrent and due to type 1 diabetes mellitus (disorder)
421631007,Gangrene associated with type II diabetes mellitus (disorder)
421750000,Ketoacidosis in type II diabetes mellitus (disorder)
421779007,Exudative maculopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
421847006,Ketoacidotic coma in type II diabetes mellitus (disorder)
421893009,Renal disorder associated with type I diabetes mellitus (disorder)
421920002,Cataract co-occurrent and due to diabetes mellitus type 1 (disorder)
421986006,Persistent proteinuria associated with type II diabetes mellitus (disorder)
422034002,Retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
422099009,Disorder of eye co-occurrent and due to type 2 diabetes mellitus (disorder)
422228004,Multiple complications of type I diabetes mellitus (disorder)
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)
426875007,Latent autoimmune diabetes mellitus in adult (disorder)
44054006,Diabetes mellitus type 2 (disorder)
443694000,Type II diabetes mellitus uncontrolled (finding)
444073006,Type I diabetes mellitus uncontrolled (finding)
445353002,Brittle type II diabetes mellitus (finding)
46635009,Diabetes mellitus type 1 (disorder)
4855003,Retinopathy co-occurrent and due to diabetes mellitus (disorder)
49455004,Polyneuropathy co-occurrent and due to diabetes mellitus (disorder)
51002006,Diabetes mellitus associated with pancreatic disease (disorder)
5368009,Drug-induced diabetes mellitus (disorder)
5969009,Diabetes mellitus associated with genetic syndrome (disorder)
609561005,Maturity-onset diabetes of the young (disorder)
609562003,"Maturity onset diabetes of the young, type 1 (disorder)"
609572000,"Maturity-onset diabetes of the young, type 5 (disorder)"
703136005,Diabetes mellitus in remission (disorder)
703137001,Type I diabetes mellitus in remission (disorder)
703138006,Type II diabetes mellitus in remission (disorder)
70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder)
713702000,Gastroparesis co-occurrent and due to type 1 diabetes mellitus (disorder)
713703005,Gastroparesis co-occurrent and due to type 2 diabetes mellitus (disorder)
713705003,Polyneuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
713706002,Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
71771000119100,Diabetic neuropathic arthropathy due to type 1 diabetes mellitus (disorder)
719216001,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II (disorder)
73211009,Diabetes mellitus (disorder)
735537007,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis (disorder)
