Name	Drug substance	Class1	Class2
abbenclamide	glibenclamide	sulfonylurea	
acarbose	acarbose	acarbose	
acetohexamide	acetohexamide	sulfonylurea	
actos 	pioglitazone	TZD	
albiglutide	albiglutide	GLP1Ra	
alogliptin	alogliptin	DPP4i	
amaryl	glimepiride	sulfonylurea	
avandamet	metformin and rosiglitazone	metformin	TZD
avandia	rosiglitazone	TZD	
bilxona	gliclazide	sulfonylurea	
bolamyn	metformin	metformin	
bydureon	exenatide	GLP1Ra	
byetta	exenatide	GLP1Ra	
calabren	glibenclamide	sulfonylurea	
canagliflozin	canagliflozin	SGLT2i	
chlorpropamide	chlorpropamide	sulfonylurea	
competact	metformin and pioglitazone	metformin	TZD
dacadis	gliclazide	sulfonylurea	
daonil	glibenclamide	sulfonylurea	
dapagliflozin	dapagliflozin	SGLT2i	
diabemide	chlorpropamide	sulfonylurea	
diabetamide	glibenclamide	sulfonylurea	
diabinese	chlorpropamide	sulfonylurea	
diabiom	pioglitazone	TZD	
diagemet	metformin	metformin	
diaglyk	gliclazide	sulfonylurea	
diamicron	gliclazide	sulfonylurea	
dibotin	phenformin	phenformin	
dimelor	acetohexamide	sulfonylurea	
dulaglutide	dulaglutide	GLP1Ra	
edicil	gliclazide	sulfonylurea	
empagliflozin	empagliflozin	SGLT2i	
enyglid	repaglinide	meglitinide	
eperzan	albiglutide	GLP1Ra	
ertugliflozin	ertugliflozin	SGLT2i	
eucreas	metformin and vildagliptin	metformin	DPP4i
euglucon	glibenclamide	sulfonylurea	
exenatide	exenatide	GLP1Ra	
forxiga	dapagliflozin	SGLT2i	
galvus	vildagliptin	DPP4i	
glibenclamide	glibenclamide	sulfonylurea	
glibenese	glipizide	sulfonylurea	
glibornuride	glibornuride	sulfonylurea	
gliclazide	gliclazide	sulfonylurea	
glidipion	pioglitazone	TZD	
gliken	glibenclamide	sulfonylurea	
glimepiride	glimepiride	sulfonylurea	
glimil	gliclazide	sulfonylurea	
glipizide	glipizide	sulfonylurea	
gliquidone	gliquidone	sulfonylurea	
glizofar	pioglitazone	TZD	
glucamet	metformin	metformin	
glucobay	acarbose	acarbose	
glucophage	metformin	metformin	
glurenorm	gliquidone	sulfonylurea	
glutril	glibornuride	sulfonylurea	
glyconon	tolbutamide	sulfonylurea	
glyformin	metformin	metformin	
glymese	chlorpropamide	sulfonylurea	
glymidine	glymidine	sulfonamide	
gondafon	glymidine	sulfonamide	
grenamide	grenamide	sulfonylurea	
invokana	canagliflozin	SGLT2i	
janumet	metformin and sitagliptin	metformin	DPP4i
januvia	sitagliptin	DPP4i	
jardiance	empagliflozin	SGLT2i	
jentadueto	metformin and linagliptin	metformin	DPP4i
kombiglyze	metformin and saxagliptin	metformin	DPP4i
komboglyze	metformin and saxagliptin	metformin	DPP4i
laaglyda	gliclazide	sulfonylurea	
lederglib	glibenclamide	sulfonylurea	
ledermetin	metformin	metformin	
libanil	glibenclamide	sulfonylurea	
linagliptin	linagliptin	DPP4i	
liraglutide	liraglutide	GLP1Ra	
lixisenatide	lixisenatide	GLP1Ra	
lyxumia	lixisenatide	GLP1Ra	
malix	glibenclamide	sulfonylurea	
meijumet	metformin	metformin	
melitase	chlorpropamide	sulfonylurea	
metabet	metformin	metformin	
metformin	metformin	metformin	
metsol	metformin	metformin	
metuxtan	metformin	metformin	
miglitol	miglitol	miglitol	
milform	metformin	metformin	
minodiab	glipizide	sulfonylurea	
nateglinide	nateglinide	meglitinide	
nazdol	gliclazide	sulfonylurea	
niddaryl	glimepiride	sulfonylurea	
novonorm	repaglinide	meglitinide	
onglyza	saxagliptin	DPP4i	
orabet	tolbutamide	sulfonylurea	
ozempic	semaglutide	GLP1Ra	
phenformin	phenformin	phenformin	
pioglitazone	pioglitazone	TZD	
pramidex	tolbutamide	sulfonylurea	
prandin	repaglinide	meglitinide	
qtern	saxagliptin and dapagliflozin	DPP4i	SGLT2i
rastinon	tolbutamide	sulfonylurea	
redul	glymidine	sulfonamide	
repaglinide	repaglinide	meglitinide	
romozin	troglitazone	TZD	
rosiglitazone	rosiglitazone	TZD	
saxagliptin	saxagliptin	DPP4i	
saxenda	liraglutide	GLP1Ra	
semaglutide	semaglutide	GLP1Ra	
sitagliptin	sitagliptin	DPP4i	
starlix	nateglinide	meglitinide	
steglatro	ertugliflozin	SGLT2i	
sukkarto	metformin	metformin	
sulfonylurea	sulfonylurea	sulfonylurea	
synjardy	metformin and empagliflozin	metformin	SGLT2i
tolanase	tolazamide	sulfonylurea	
tolazamide	tolazamide	sulfonylurea	
tolbutamide	tolbutamide	sulfonylurea	
trajenta	linagliptin	DPP4i	
troglitazone	troglitazone	TZD	
trulicity	dulaglutide	GLP1Ra	
vamju	gliclazide	sulfonylurea	
victoza	liraglutide	GLP1Ra	
vildagliptin	vildagliptin	DPP4i	
vipdomet	metformin and alogliptin	metformin	DPP4i
vipidia	alogliptin	DPP4i	
vitile	gliclazide	sulfonylurea	
vivazide	gliclazide	sulfonylurea	
vokanamet	metformin and canagliflozin	metformin	SGLT2i
xigduo	metformin and dapagliflozin	metformin	SGLT2i
xultophy	insulin and liraglutide	GLP1Ra	insulin
yaltormin	metformin	metformin	
ziclaseg	gliclazide	sulfonylurea	
zicron	gliclazide	sulfonylurea	
