read_3	Term
C104.	Diabetes mellitus: [with renal manifestation] or [nephropathy]
C104.	Diabetic nephropathy
C104.	Diabetes mellitus with renal manifestation
C1040	Diabetes mellitus, juvenile type, with renal manifestation
C1041	Diabetes mellitus, adult onset, with renal manifestation
C104y	Other specified diabetes mellitus with renal complications
C104z	Diabetes mellitus with nephropathy NOS
C1080	Type I diabetes mellitus with renal complications
C1080	Insulin-dependent diabetes mellitus with renal complications
C1080	Type 1 diabetes mellitus with renal complications
C1090	Type II diabetes mellitus with renal complications
C1090	Non-insulin-dependent diabetes mellitus with renal complications
C1090	Type 2 diabetes mellitus with renal complications
C10A2	Malnutrition-related diabetes mellitus with renal complications
Cyu23	[X]Unspecified diabetes mellitus with renal complications
K01x1	Nephrotic syndrome in diabetes mellitus
K01x1	Kimmelstiel - Wilson disease
K081.	Nephrogenic diabetes insipidus
K081.	NDI - Nephrogenic diabetes insipidus
X30Jo	Congenital nephrogenic diabetes insipidus
X30Jo	Primary nephrogenic diabetes insipidus
X30Jp	Acquired nephrogenic diabetes insipidus
X30Jp	Secondary nephrogenic diabetes insipidus
X30Kk	Diabetic nephropathy
X30Kl	Microalbuminuric diabetic nephropathy
X30Kl	Incipient diabetic nephropathy
X30Km	Proteinuric diabetic nephropathy
X30Km	Clinical diabetic nephropathy
X40JR	Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction
XaF04	Type I diabetes mellitus with nephropathy
XaF04	Insulin dependent diabetes mellitus with nephropathy
XaF04	Type 1 diabetes mellitus with nephropathy
XaF05	Type II diabetes mellitus with nephropathy
XaF05	Non-insulin dependent diabetes mellitus with nephropathy
XaF05	Type 2 diabetes mellitus with nephropathy
XaXe2	H/O: diabetic nephropathy
XaXe2	History of diabetic nephropathy
XC0de	Kimmelstiel Wilson kidney
XE10G	Diabetes mellitus with renal manifestation
XE12E	Diabetes + nephropathy (& [Kimmelstiel-Wilson syndrome])
XE12E	Diabetic nephropathy
XE12E	Diabetes + nephropathy
XE12E	Nephropathy - diabetic
XE12E	Kimmelstiel-Wilson syndrome
XE12E	Kimmelstiel-Wilson synd
