read_code,term_description,description_type,status
C106.,Diabetes mellitus with neurological manifestation,S,E
C106.,Diabetes mellitus with neurological manifestation: (& [amyotrophy] or [neuropathy] or [polyneuropathy]),P,E
C106.,Diabetes mellitus with neuropathy,S,E
C106.,Diabetes mellitus with polyneuropathy,S,E
C106.,Diabetic amyotrophy,S,E
C1060,"Diabetes mellitus, juvenile type, with neurological manifestation",P,O
C1061,"Diabetes mellitus, adult onset, with neurological manifestation",P,O
C106y,Other specified diabetes mellitus with neurological complications,P,O
C106z,Diabetes mellitus NOS with neurological manifestation,P,O
C107.,Diabetes mellitus with gangrene,S,E
C107.,Diabetes mellitus with peripheral circulatory disorder,S,E
C107.,Diabetes mellitus with: [gangrene] or [peripheral circulatory disorder],P,E
C107.,Diabetes with gangrene,S,E
C1070,"Diabetes mellitus, juvenile type, with peripheral circulatory disorder",P,O
C1071,"Diabetes mellitus, adult onset, with peripheral circulatory disorder",P,O
C1072,"Diabetes mellitus, adult with gangrene",P,O
C1073,IDDM with peripheral circulatory disorder,P,O
C1074,NIDDM with peripheral circulatory disorder,P,O
C107y,Other specified diabetes mellitus with peripheral circulatory complications,P,O
C107z,Diabetes mellitus NOS with peripheral circulatory disorder,P,O
C1082,Insulin-dependent diabetes mellitus with neurological complications,S,O
C1082,Type 1 diabetes mellitus with neurological complications,S,O
C1082,Type I diabetes mellitus with neurological complications,P,O
C1085,Insulin-dependent diabetes mellitus with ulcer,S,O
C1085,Type 1 diabetes mellitus with ulcer,S,O
C1085,Type I diabetes mellitus with ulcer,P,O
C1086,Insulin-dependent diabetes mellitus with gangrene,S,O
C1086,Type 1 diabetes mellitus with gangrene,S,O
C1086,Type I diabetes mellitus with gangrene,P,O
C1092,Non-insulin-dependent diabetes mellitus with neurological complications,S,O
C1092,Type 2 diabetes mellitus with neurological complications,S,O
C1092,Type II diabetes mellitus with neurological complications,P,O
C1094,Non-insulin-dependent diabetes mellitus with ulcer,S,O
C1094,Type 2 diabetes mellitus with ulcer,S,O
C1094,Type II diabetes mellitus with ulcer,P,O
C1095,Non-insulin-dependent diabetes mellitus with gangrene,S,O
C1095,Type 2 diabetes mellitus with gangrene,S,O
C1095,Type II diabetes mellitus with gangrene,P,O
C10A4,Malnutrition-related diabetes mellitus with neurological complications,P,O
C10A5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,P,O
F1711,Autonomic neuropathy due to diabetes,S,C
F1711,Diabetic autonomic neuropathy,P,C
F372.,Diabetic neuropathy,S,E
F372.,Diabetic neuropathy &/or diabetic polyneuropathy,P,E
F372.,Diabetic polyneuropathy,S,E
F372.,Polyneuropathy in diabetes,S,E
F3720,Acute painful diabetic neuropathy,P,O
F3721,Chronic painful diabetic neuropathy,P,O
F3722,Asymptomatic diabetic neuropathy,P,O
f8...,Diabetic neuropathy treatment [no drugs here],P,O
M0372,Cellulitis in diabetic foot,P,O
M2711,Neuropathic diabetic ulcer - foot,P,C
M2712,Mixed diabetic ulcer - foot,P,C
R0542,[D]Gangrene of toe in diabetic,P,O
R0543,[D]Widespread diabetic foot gangrene,P,O
X00Ag,Diabetes mellitus with neuropathy,S,C
X00Ag,Diabetic neuropathy,P,C
X00Ah,Diabetic distal sensorimotor polyneuropathy,P,C
X00Ai,Diabetic acute painful polyneuropathy,P,C
X00Aj,Diabetic chronic painful polyneuropathy,P,C
X00Ak,Diabetic asymmetric polyneuropathy,P,C
X00Al,Diabetic mononeuropathy,P,C
Xa0lK,Diabetic (femoral mononeuropathy) & (Diabetic amyotrophy),P,E
Xa0lK,Diabetic amyotrophy,S,E
Xa0lK,Diabetic femoral mononeuropathy,S,E
Xa1J5,Diabetic foot,P,C
XaBLf,O/E - Right diabetic foot at risk,P,O
XaBLg,O/E - Left diabetic foot at risk,P,O
XaEnn,Insulin dependent diabetes mellitus with mononeuropathy,S,O
XaEnn,Type 1 diabetes mellitus with mononeuropathy,S,O
XaEnn,Type I diabetes mellitus with mononeuropathy,P,O
