ICD10	Term
E08.3	Diabetes mellitus due to underlying condition with ophthalmic complications
E08.31	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy
E08.311	…... with macular edema
E08.319	…... without macular edema
E08.32	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy
E08.321	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
E08.3211	…... right eye
E08.3212	…... left eye
E08.3213	…... bilateral
E08.3219	…... unspecified eye
E08.329	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
E08.3291	…... right eye
E08.3292	…... left eye
E08.3293	…... bilateral
E08.3299	…... unspecified eye
E08.33	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy
E08.331	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema
E08.3311	…… right eye
E08.3312	…... left eye
E08.3313	…... bilateral
E08.3319	…... unspecified eye
E08.339	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema
E08.3391	…... right eye
E08.3392	…... left eye
E08.3393	…… bilateral
E08.3399	…... unspecified eye
E08.34	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy
E08.341	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
E08.3411	…... right eye
E08.3412	…... left eye
E08.3413	…... bilateral
E08.3419	…... unspecified eye
E08.349	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
E08.3491	…... right eye
E08.3492	…... left eye
E08.3493	…... bilateral
E08.3499	…... unspecified eye
E08.35	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy
E08.351	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
E08.3511	…... right eye
E08.3512	…... left eye
E08.3513	…... bilateral
E08.3519	…... unspecified eye
E08.352	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E08.3521	…... right eye
E08.3522	…... left eye
E08.3523	…... bilateral
E08.3529	…... unspecified eye
E08.353	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E08.3531	…... right eye
E08.3532	…... left eye
E08.3533	…... bilateral
E08.3539	…... unspecified eye
E08.354	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E08.3541	…... right eye
E08.3542	…... left eye
E08.3543	…... bilateral
E08.3549	…... unspecified eye
E08.355	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy
E08.3551	…... right eye
E08.3552	…... left eye
E08.3553	…... bilateral
E08.3559	…... unspecified eye
E08.359	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
E08.3591	…... right eye
E08.3592	…... left eye
E08.3593	…... bilateral
E08.3599	…... unspecified eye
E08.36	Diabetes mellitus due to underlying condition with diabetic cataract
E08.37	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment
E08.37X1	…... right eye
E08.37X2	…... left eye
E08.37X3	…... bilateral
E08.37X9	…... unspecified eye
E08.39	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication
E09.3	Drug or chemical induced diabetes mellitus with ophthalmic complications
E09.31	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy
E09.311	…... with macular edema
E09.319	…... without macular edema
E09.32	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy
E09.321	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
E09.3211	…... right eye
E09.3212	…... left eye
E09.3213	…... bilateral
E09.3219	…... unspecified eye
E09.329	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
E09.3291	…... right eye
E09.3292	…... left eye
E09.3293	…... bilateral
E09.3299	…... unspecified eye
E09.33	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy
E09.331	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
E09.3311	…... right eye
E09.3312	…... left eye
E09.3313	…... bilateral
E09.3319	…... unspecified eye
E09.339	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
E09.3391	…... right eye
E09.3392	…... left eye
E09.3393	…... bilateral
E09.3399	…... unspecified eye
E09.34	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy
E09.341	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
E09.3411	…... right eye
E09.3412	…... left eye
E09.3413	…... bilateral
E09.3419	…... unspecified eye
E09.349	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
E09.3491	…… right eye
E09.3492	…... left eye
E09.3493	…... bilateral
E09.3499	…... unspecified eye
E09.35	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy
E09.351	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
E09.3511	…... right eye
E09.3512	…... left eye
E09.3513	…... bilateral
E09.3519	…... unspecified eye
E09.352	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E09.3521	…... right eye
E09.3522	…... left eye
E09.3523	…... bilateral
E09.3529	…... unspecified eye
E09.353	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E09.3531	…... right eye
E09.3532	…... left eye
E09.3533	…... bilateral
E09.3539	…... unspecified eye
E09.354	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
