ICD10	Term
E08.34	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy
E08.341	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
E08.3411	…... right eye
E08.3412	…... left eye
E08.3413	…... bilateral
E08.3419	…... unspecified eye
E08.349	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
E08.3491	…... right eye
E08.3492	…... left eye
E08.3493	…... bilateral
E08.3499	…... unspecified eye
E08.35	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy
E08.351	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
E08.3511	…... right eye
E08.3512	…... left eye
E08.3513	…... bilateral
E08.3519	…... unspecified eye
E08.352	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
E08.3521	…... right eye
E08.3522	…... left eye
E08.3523	…... bilateral
E08.3529	…... unspecified eye
E08.353	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
E08.3531	…... right eye
E08.3532	…... left eye
E08.3533	…... bilateral
E08.3539	…... unspecified eye
E08.354	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
E08.3541	…... right eye
E08.3542	…... left eye
E08.3543	…... bilateral
E08.3549	…... unspecified eye
E08.355	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy
E08.3551	…... right eye
E08.3552	…... left eye
E08.3553	…... bilateral
E08.3559	…... unspecified eye
E08.359	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
E08.3591	…... right eye
E08.3592	…... left eye
E08.3593	…... bilateral
E08.3599	…... unspecified eye
E09.34	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy
E09.341	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
E09.3411	…... right eye
E09.3412	…... left eye
E09.3413	…... bilateral
E09.3419	…... unspecified eye
E09.349	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
E09.3491	…… right eye
