SnomedCTConceptId,Description,Term length,,Term length codings,
16714009,Miscarriage in first trimester (disorder),0,,0,12 weeks
6251000119101,Induced termination of pregnancy in first trimester (disorder),0,,1,24 weeks
17369002,Miscarriage (disorder),1,,2,40 weeks
697954007,Miscarriage care (regime/therapy),1,,,
156073000,Complete miscarriage (disorder),1,,,
67465009,Miscarriage with uremia (disorder),1,,,
72613009,Miscarriage with sepsis (disorder),1,,,
7910003,Miscarriage with oliguria (disorder),1,,,
184339009,Miscarriage with salpingitis (disorder),1,,,
60265009,Miscarriage at 8 to 28 weeks (disorder),1,,,
66131005,Miscarriage with air embolism (disorder),1,,,
30806007,Miscarriage with fat embolism (disorder),1,,,
34614007,Miscarriage with endometritis (disorder),1,,,
18613002,Miscarriage with complication (disorder),1,,,
83922009,Miscarriage with septic shock (disorder),1,,,
7000009,Miscarriage with parametritis (disorder),1,,,
48485000,Fetal demise from miscarriage (disorder),1,,,
85116003,Miscarriage with laceration of bowel (disorder),1,,,
57469000,Miscarriage in second trimester (disorder),1,,,
275421004,Miscarriage with acute renal failure (disorder),1,,,
127009,Miscarriage with heavy bleeding (disorder),1,,,
198661003,Miscarriage with laceration of cervix (disorder),1,,,
7809009,Complete miscarriage with shock (disorder),1,,,
85632001,Miscarriage with laceration of uterus (disorder),1,,,
12394009,Miscarriage with laceration of vagina (disorder),1,,,
34270000,Miscarriage with cerebral anoxia (disorder),1,,,
59204004,Miscarriage complicated by shock (disorder),1,,,
39199000,Miscarriage with septic embolism (disorder),1,,,
21360006,Miscarriage with laceration of bladder (disorder),1,,,
23793007,Miscarriage with afibrinogenemia (disorder),1,,,
198649006,Miscarriage without complication (disorder),1,,,
21360006,Cardiac arrest due to miscarriage (disorder),1,,,
198663000,Complete miscarriage with embolism (disorder),1,,,
275425008,Retained products after miscarriage (disorder),1,,,
82153002,Miscarriage with pulmonary embolism (disorder),1,,,
85991008,Miscarriage with pelvic peritonitis (disorder),1,,,
43306002,Miscarriage complicated by embolism (disorder),1,,,
47537002,Miscarriage with postoperative shock (disorder),1,,,
61568004,Miscarriage with salpingo-oophoritis (disorder),1,,,
55976003,Miscarriage with blood-clot embolism (disorder),1,,,
8071005,Miscarriage with perforation of bowel (disorder),1,,,
15809008,Miscarriage with perforation of uterus (disorder),1,,,
87967003,Miscarriage with perforation of vagina (disorder),1,,,
64814003,Miscarriage with electrolyte imbalance (disorder),1,,,
74369005,Miscarriage with perforation of cervix (disorder),1,,,
85467007,Miscarriage with perforation of bladder (disorder),1,,,
85331004,Miscarriage with laceration of broad ligament (disorder),1,,,
11026009,Miscarriage with renal tubular necrosis (disorder),1,,,
50770000,Miscarriage with defibrination syndrome (disorder),1,,,
198659007,Complete miscarriage with renal failure (disorder),1,,,
1469007,Miscarriage with urinary tract infection (disorder),1,,,
10697004,Miscarriage complicated by renal failure (disorder),1,,,
53183006,Miscarriage with intravascular hemolysis (disorder),1,,,
40444006,Miscarriage with acute necrosis of liver (disorder),1,,,
10058006,Miscarriage with amniotic fluid embolism (disorder),1,,,
44814008,Miscarriage with laceration of periurethral tissue (disorder),1,,,
198660002,Complete miscarriage with metabolic disorder (disorder),1,,,
13384007,Miscarriage complicated by metabolic disorder (disorder),1,,,
14136000,Miscarriage with perforation of broad ligament (disorder),1,,,
48739004,Miscarriage with cardiac arrest and/or cardiac failure (disorder),1,,,
