medcode	read.code	read.term	preterm	postterm	third_trimester	antenatal	postdel_antenatal	lmp	edc	edd	delivery	postnatal_8wk	stillbirth	multiple	ectopic	miscarriage	top	top_probable	molar	blighted_ovum	loss_unspecified	postnatal_other	latepreg	preg_related	gest_lower	gest_upper	gest_mid	gest_range	dayspostnatal	dayspostnatal_min	mother	infant
127	62...00	Patient pregnant	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
164	635..13	Premature baby	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	168	258	213	90	NA	NA	1	1
165	L04..11	Miscarriage	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
167	7F19.00	Normal delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
239	L20..11	Spontaneous vaginal delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
255	L05..12	Termination of pregnancy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
294	62...11	Antenatal care	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
364	7F13111	Lower uterine segment caesarean section (LSCS) NEC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
424	L281.00	Premature rupture of membranes	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	1	0
444	8HT9.00	Referral to antenatal clinic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
447	L116.00	Placenta praevia	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
463	L222.12	Breech delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
617	L124.12	Toxaemia NOS	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
618	L398400	Delivery by emergency caesarean section	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
682	Q42..00	Haemolytic disease of fetus/newborn due to isoimmunisation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	1	0
683	Q420.00	Haemolytic disease due to rhesus isoimmunisation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	1	0
688	7F17.11	Ventouse delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
720	L398.00	Caesarean delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
740	7F12.00	Elective caesarean delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
819	L30..00	Obstructed labour	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
863	L398200	Caesarean section - pregnancy at term	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	259	286	272.5	27	NA	NA	1	0
906	L100.00	Threatened abortion	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
974	Q4z..15	Stillbirth NEC	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
983	Q....11	Fetal and neonatal conditions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	1	0
1017	Q034.00	Fetus or neonate affected by caesarean section	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1036	7E08200	Evacuation of products of conception from uterus NEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1130	L210.00	Twin pregnancy	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1211	Q11z.00	Born premature NOS	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	168	258	213	90	NA	NA	1	1
1214	6311.00	Home birth	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1279	7F16.00	Forceps cephalic delivery	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1357	L210100	Twin pregnancy - delivered	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	1
1358	63CE.00	One of twins	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0	1
1359	Q43z.00	Perinatal jaundice NOS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1383	Q31y100	Perinatal cyanotic attacks NOS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1413	L264.00	Intrauterine death	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	0
1439	L07..00	Unspecified abortion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	1	0
