read_3	Term
C3102	Glucose-6-phosphatase deficiency
C3102	von Gierke disease
D1020	Glucose-6-phosphate dehydrogenase deficiency anaemia
Q4300	Neonatal jaundice with glucose-6-phosphate dehydrogenase deficiency
X20DE	Glucose-6-phosphate dehydrogenase deficiency
X20DE	G6PD - Glucose-6-phosphate dehydrogenase deficiency
X20Hi	Leucocyte glucose-6-phosphate dehydrogenase deficiency
XE138	Glucose-6-phosphate dehydrogenase deficiency
XE138	Glucose-6-phosph.dehydr.defic.
XE138	(Other amino acid/carbohydrate) or (albinism) or (cystinuria) or (glucose-6-phosphate dehydrogenase deficiency) or (galactosaemia) or (glycogen storage disease) or (Von Gierke's disease)
XE138	von Gierke disease
XE138	Von Gierke's disease
