Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
End stage renal disease,14S2.00,251923016,H/O: kidney recipient,161665007,251923016
End stage renal disease,14V2.00,251957012,H/O: renal dialysis,161693006,251957012
End stage renal disease,14V2.11,251956015,H/O: kidney dialysis,161693006,251956015
End stage renal disease,1Z14.00,3.04111E+14,Chronic kidney disease stage 5,433146000,2767154014
End stage renal disease,1Z1K.00,5.96321E+14,Chronic kidney disease stage 5 with proteinuria,3.24501E+14,5.96321E+14
End stage renal disease,1Z1L.00,5.96401E+14,Chronic kidney disease stage 5 without proteinuria,3.24541E+14,5.96401E+14
End stage renal disease,1Z1L.11,6.18521E+14,CKD stage 5 without proteinuria,3.24541E+14,6.18521E+14
End stage renal disease,4I29.00,261136015,Peritoneal dialysis sample,168140004,261136015
End stage renal disease,4N0..00,2478488018,Dialysis fluid urea level,9.91511E+14,2.57042E+15
End stage renal disease,4N2..00,2478492013,Dialysis fluid glucose level,9.91521E+14,2.55899E+15
End stage renal disease,7B00.00,501594013,Transplantation of kidney,70536003,501594013
End stage renal disease,7B00100,9.0471E+13,Live donor renal transplant,175901007,272318013
End stage renal disease,7B00111,272320011,Allotransplantation of kidney from live donor,175901007,272320011
End stage renal disease,7B00200,9.0461E+13,Transplantation of kidney from cadaver,175902000,272325018
End stage renal disease,7B00211,4.78131E+14,Allotransplantation of kidney from cadaver,175902000,272325018
End stage renal disease,7B00212,272325018,Cadaveric renal transplant,175902000,272325018
End stage renal disease,7B00300,3.72621E+14,Allotransplantation of kidney from beating heart cadaver,711411006,3078356013
End stage renal disease,7B00400,1.54984E+15,Allotransplantation of kidney from non-beating heart cadaver,711413009,3078484016
End stage renal disease,7B00500,3.99381E+14,Allotransplantation of kidney from cadaver NEC,175902000,272323013
End stage renal disease,7B00y00,272326017,Other specified transplantation of kidney,70536003,117163013
End stage renal disease,7B00z00,272327014,Transplantation of kidney NOS,70536003,501594013
End stage renal disease,7B01511,422992018,Excision of rejected transplanted kidney,284348003,422992018
End stage renal disease,7B06300,272389014,Exploration of renal transplant,175948009,272389014
End stage renal disease,7B0F.00,3.66671E+14,Interventions associated with transplantation of kidney,711446003,3078450015
End stage renal disease,7B0F300,3.80101E+14,Examination of recipient after kidney transplant,428645009,2693113012
End stage renal disease,7B0Fy00,1.55002E+15,OS interventions associated with transplantation of kidney,711446003,3078450015
End stage renal disease,7B0Fz00,3.80061E+14,Interventions associated with transplantation of kidney NOS,711446003,3078450015
End stage renal disease,7L1A.11,6.19541E+14,Dialysis for renal failure,265764009,394640016
End stage renal disease,7L1A000,394640016,Renal dialysis,265764009,394640016
End stage renal disease,7L1A011,1.06291E+14,Thomas intravascular shunt for dialysis,302497006,444203017
End stage renal disease,7L1A100,118218017,Peritoneal dialysis,71192002,118218017
End stage renal disease,7L1A200,278832011,Haemodialysis,302497006,444203017
End stage renal disease,7L1A400,2692168016,Automated peritoneal dialysis,428648006,2692168016
End stage renal disease,7L1A500,357219012,Continuous ambulatory peritoneal dialysis,238318009,357219012
End stage renal disease,7L1A600,3.75841E+14,Peritoneal dialysis NEC,71192002,118218017
End stage renal disease,7L1B.11,2.28131E+14,Placement ambulatory dialysis apparatus - compens renal fail,180272001,278839019
End stage renal disease,7L1B000,7.73041E+14,Insertion of chronic ambulatory peritoneal dialysis catheter,180272001,278839019
End stage renal disease,7L1B100,1.81021E+14,Removal of ambulatory peritoneal dialysis catheter,180273006,278840017
End stage renal disease,7L1B200,1.70562E+15,Flushing of peritoneal dialysis catheter,238317004,1.70562E+15
End stage renal disease,7L1C000,278844014,Insertion of temporary peritoneal dialysis catheter,180277007,278844014
End stage renal disease,8882,282526013,Intestinal dialysis,182753006,282526013
End stage renal disease,G72C.00,2.19512E+15,Ruptured aneurysm of dialysis vascular access,8.46461E+14,2.19512E+15
End stage renal disease,G72D.00,2.19566E+15,Aneurysm of dialysis arteriovenous fistula,8.46731E+14,2.19566E+15
End stage renal disease,G72D000,1.84709E+15,Aneurysm of superficialised artery of dialysis arteriovenous fistula,8.46671E+14,2.19554E+15
End stage renal disease,G72D100,2.19572E+15,Aneurysm of needle site of dialysis arteriovenous fistula,8.46761E+14,2.19572E+15
End stage renal disease,G72D200,1.84711E+15,Aneurysm of anastomotic site of dialysis arteriovenous fistula,8.46801E+14,2.1958E+15
End stage renal disease,Gy1..00,2.21034E+15,Stenosis of dialysis vascular access,8.53631E+14,2.21034E+15
End stage renal disease,Gy10.00,2.23798E+15,Stenosis of dialysis arteriovenous graft,8.65841E+14,2.23798E+15
