Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
HIV,43C3.11,257855012,HIV positive,165816005,257855012
HIV,43w3.00,1.54013E+15,HIV (human immunodeficiency virus) ribonucleic acid/deoxyribonucleic acid ratio,9.96081E+14,2.55967E+15
HIV,4J34.00,459601018,HIV (human immunodeficiency virus) viral load,9.98701E+14,2.58194E+15
HIV,4J3F.00,6.03931E+14,Human immunodeficiency virus viral load by log rank,9.98171E+14,2.57136E+15
HIV,4J3N.00,2.37604E+15,HIV (human immunodeficiency virus) drug resistance test,1.01087E+15,2.57855E+15
HIV,4J3P.00,1.92421E+15,Human immunodeficiency virus type 1 subtype identification,1.00776E+15,2.55158E+15
HIV,65QA.00,264371011,Human immunodeficiency virus carrier,699433000,2984517011
HIV,65VE.00,264418012,Notification of AIDS,170530008,264418012
HIV,66j..00,1.12157E+15,Human immunodeficiency virus monitoring,5.04871E+14,1.12157E+15
HIV,66j0.00,1.12163E+15,Human immunodeficiency virus annual review,5.04901E+14,1.12163E+15
HIV,7Q05600,7.49871E+14,Antiretroviral drugs Band 1,3.80571E+14,7.49871E+14
HIV,8Hle.00,1.81284E+15,Referral to community human immunodeficiency virus nurse specialist,8.17381E+14,2.12942E+15
HIV,9kl..00,1.71572E+15,Human immunodeficiency virus positive general health check service declined,5.04931E+14,1.15452E+15
HIV,9kl..11,1.74179E+15,HIV positive general health check service declined,5.04931E+14,1.15452E+15
HIV,9mN..00,2.3025E+15,Human immunodeficiency virus infection monitoring invitation,8.94621E+14,2.3025E+15
HIV,9mN0.00,1.90783E+15,Human immunodeficiency virus infection monitoring telephone invitation,8.94641E+14,2.30254E+15
HIV,9mN0000,1.90784E+15,Human immunodeficiency virus infection monitoring first telephone invitation,8.94661E+14,2.30258E+15
HIV,9mN0100,1.90785E+15,Human immunodeficiency virus infection monitoring second telephone invitation,8.94781E+14,2.30284E+15
HIV,9mN0200,1.90786E+15,Human immunodeficiency virus infection monitoring third telephone invitation,8.94801E+14,2.30288E+15
HIV,9Nt1000,2.22963E+15,Seen by community HIV (human immunodeficiency virus) nurse,8.62191E+14,2.22963E+15
HIV,A788.00,103844015,Acquired immune deficiency syndrome,62479008,103844015
HIV,A788.11,143288017,Human immunodeficiency virus infection,86406008,143288017
HIV,A788000,365853018,Acute HIV infection,111880001,179043011
HIV,A788100,152322017,Asymptomatic human immunodeficiency virus infection,91947003,152322017
HIV,A788200,8.25871E+14,Human immunodeficiency virus infection with persistent generalised lymphadenopathy,95892003,512343012
HIV,A788300,8.29181E+14,Human immunodeficiency virus with constitutional disease,186706006,287010012
HIV,A788400,287012016,Human immunodeficiency virus with neurological disease,186707002,287012016
HIV,A788500,8.29221E+14,Human immunodeficiency virus infection with secondary clinical infectious disease,186708007,287013014
HIV,A788600,287014015,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection,713572001,3290189011
HIV,A788U00,8.25731E+14,"HIV disease result/haematological+immunologic abnorms,NEC",9.43041E+14,2.41269E+15
HIV,A788V00,8.25791E+14,HIV disease resulting in multiple diseases CE,86406008,143288017
HIV,A788W00,8.25841E+14,HIV disease resulting in unspecified malignant neoplasm,86406008,143288017
HIV,A788X00,8.25861E+14,HIV disease resulting/unspcf infectious+parasitic disease,186708007,287013014
HIV,A788y00,287020019,Human immunodeficiency virus with other clinical findings,86406008,143288017
HIV,A788z00,287021015,Acquired human immunodeficiency virus infection syndrome NOS,86406008,143288017
HIV,A789.00,287022010,Symptomatic human immunodeficiency virus infection,81000119104,2967570018
HIV,A789000,287023017,Mycobacteriosis associated with AIDS,420818005,2617389018
HIV,A789100,287024011,HIV disease resulting in cytomegaloviral disease,81000119104,2967570018
HIV,A789200,287025012,HIV disease resulting in candidiasis,81000119104,2967570018
HIV,A789300,8.25831E+14,Pneumocystosis associated with AIDS,420403001,2617400016
HIV,A789311,1.81492E+15,HIV disease resulting in Pneumocystis jirovecii pneumonia,420403001,2617400016
HIV,A789400,287027016,HIV disease resulting in multiple infections,186708007,287013014
HIV,A789500,8.25771E+14,Kaposi's sarcoma associated with AIDS,420524008,2617386013
HIV,A789511,1.81493E+15,HIV disease resulting in Kaposi sarcoma,420524008,2614767011
HIV,A789600,287029018,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection,713897006,3297968018
HIV,A789611,2.16833E+15,HIV disease resulting in Burkitt lymphoma,713897006,3297968018
HIV,A789700,8.25721E+14,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection,442537007,2816358010
HIV,A789711,1.81495E+15,HIV disease resulting in other types of non-Hodgkin lymphoma,442537007,2816358010
HIV,A789800,287031010,HIV disease resulting in multiple malignant neoplasms,713572001,3290189011
HIV,A789900,287032015,HIV disease resulting in lymphoid interstitial pneumonitis,421671002,2614782018
HIV,A789A00,2622348012,HIV disease resulting in wasting syndrome,422003001,2622348012
HIV,A789X00,8.25711E+14,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",86406008,143288017
HIV,AyuC.00,288173019,[X]Human immunodeficiency virus disease,86406008,143288017
HIV,AyuC000,288174013,[X]HIV disease resulting in other bacterial infections,86406008,143288017
HIV,AyuC100,288177018,[X]HIV disease resulting in other viral infections,186708007,287013014
HIV,AyuC200,288178011,[X]HIV disease resulting in other mycoses,86406008,143288017
HIV,AyuC300,3.89021E+14,[X]HIV disease resulting in multiple infections,186708007,287013014
HIV,AyuC400,3.89101E+14,[X]HIV disease resulting/other infectious+parasitic diseases,186708007,287013014
HIV,AyuC500,3.89111E+14,[X]HIV disease resulting/unspcf infectious+parasitic disease,186708007,287013014
HIV,AyuC600,288182013,[X]HIV disease resulting in other non-Hodgkin's lymphoma,442537007,2816358010
HIV,AyuC611,1.815E+15,[X]HIV disease resulting in other non-Hodgkin lymphoma,442537007,2816358010
HIV,AyuC700,3.88991E+14,"[X]HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",86406008,143288017
HIV,AyuC800,288185010,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection,713572001,3290189011
HIV,AyuC900,288186011,[X]HIV disease resulting in unspecified malignant neoplasm,86406008,143288017
HIV,AyuCA00,3.89011E+14,[X]HIV disease resulting in multiple diseases classified elsewhere,86406008,143288017
HIV,AyuCB00,3.89001E+14,HIV (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities,9.43041E+14,2.41269E+15
HIV,AyuCC00,288190013,[X]HIV disease resulting in other specified conditions,86406008,143288017
HIV,AyuCD00,288191012,[X]Unspecified human immunodeficiency virus [HIV] disease,86406008,143288017
HIV,Eu02400,3.76571E+14,[X]Dementia in human immunodef virus [HIV] disease,421529006,2622767013
HIV,L179.00,1.81679E+15,HIV disease complicating pregnancy childbirth puerperium,198609003,305277014
HIV,R109.00,317670010,[D]Laboratory evidence of human immunodeficiency virus [HIV],165816005,257855012
HIV,ZV01A00,3.37231E+14,[V]Asymptomatic human immunodeficiency virus infection status,4.27921E+14,9.38141E+14
HIV,ZV6D400,461110013,Human immunodeficiency virus counselling,313077009,2771170017
