Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Type 2 Diabetes,66A3.00,264679015,Diabetic on diet only,170745003,264679015
Type 2 Diabetes,66A4.00,264681018,Diabetic on oral treatment,170746002,264681018
Type 2 Diabetes,66o5.00,1.96631E+15,Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist,9.76341E+14,2.48372E+15
Type 2 Diabetes,C107400,6.74961E+14,Peripheral circulatory disorder associated with type 2 diabetes mellitus,422166005,2623039019
Type 2 Diabetes,C109.00,2.80571E+14,Non-insulin dependent diabetes mellitus,44054006,493773010
Type 2 Diabetes,C109.11,493773010,NIDDM - Non-insulin dependent diabetes mellitus,44054006,493773010
Type 2 Diabetes,C109.12,8.4471E+13,Type 2 diabetes mellitus,44054006,197761014
Type 2 Diabetes,C109.13,8.4841E+13,Type II diabetes mellitus,44054006,493774016
Type 2 Diabetes,C109000,5.87521E+14,Non-insulin-dependent diabetes mellitus with renal comps,420279001,2615535015
Type 2 Diabetes,C109011,8.4981E+13,Type II diabetes mellitus with renal complications,420279001,3013392012
Type 2 Diabetes,C109012,8.4611E+13,Type 2 diabetes mellitus with renal complications,420279001,2618208012
Type 2 Diabetes,C109100,5.87111E+14,Non-insulin-dependent diabetes mellitus with ophthalm comps,422099009,3698440016
Type 2 Diabetes,C109111,8.4951E+13,Disorder of eye with type 2 diabetes mellitus,422099009,3698440016
Type 2 Diabetes,C109112,8.4581E+13,Type 2 diabetes mellitus with ophthalmic complications,422099009,3698440016
Type 2 Diabetes,C109200,2.80591E+14,Non-insulin-dependent diabetes mellitus with neuro comps,421326000,3695406015
Type 2 Diabetes,C109211,8.4931E+13,Neurological disorder with diabetes type 2,421326000,3695406015
Type 2 Diabetes,C109212,8.4561E+13,Type 2 diabetes mellitus with neurological complications,421326000,3695406015
Type 2 Diabetes,C109300,2.80581E+14,Non-insulin-dependent diabetes mellitus with multiple complications,190388001,292578014
Type 2 Diabetes,C109311,8.4911E+13,Type II diabetes mellitus with multiple complications,190388001,292576013
Type 2 Diabetes,C109312,8.4541E+13,Type 2 diabetes mellitus with multiple complications,190388001,292577016
Type 2 Diabetes,C109400,2.80551E+14,Non-insulin-dependent diabetes mellitus with ulcer,190389009,292580015
Type 2 Diabetes,C109411,8.5001E+13,Type II diabetes mellitus with ulcer,190389009,292581016
Type 2 Diabetes,C109412,8.4631E+13,Type 2 diabetes mellitus with ulcer,190389009,292579018
Type 2 Diabetes,C109500,2.81211E+14,Gangrene associated with type 2 diabetes mellitus,421631007,2967779019
Type 2 Diabetes,C109511,8.4881E+13,Type II diabetes mellitus with gangrene,421631007,2618206011
Type 2 Diabetes,C109512,8.4511E+13,Type 2 diabetes mellitus with gangrene,421631007,2618206011
Type 2 Diabetes,C109600,6.41581E+14,Non-insulin-dependent diabetes mellitus with retinopathy,422034002,3035295017
Type 2 Diabetes,C109611,8.4991E+13,Type II diabetes mellitus with retinopathy,422034002,3699410014
Type 2 Diabetes,C109612,8.4621E+13,Type 2 diabetes mellitus with retinopathy,422034002,3699410014
Type 2 Diabetes,C109700,2.81171E+14,Type II diabetes mellitus uncontrolled,443694000,2842387018
Type 2 Diabetes,C109711,8.4851E+13,Type II diabetes mellitus - poor control,443694000,2921019012
