Code,Description
116859006,Transfusion of blood product (procedure)
116859006,Transfusion of blood product (procedure)
33389009,Transfusion of whole blood (procedure)
277360004,Massive blood transfusion (procedure)
287987000,Cut-down blood transfusion (procedure)
39188002,Exchange transfusion (procedure)
33389009,Transfusion of whole blood (procedure)
82545002,Blood transfusion reaction (disorder)
116859006,Transfusion of blood product (procedure)
39188002,Exchange transfusion (procedure)
301842006,Intravenous blood transfusion (procedure)
288170000,Packed blood cell transfusion (procedure)
54790000,Transfusion of blood component (procedure)
116863004,Transfusion of red blood cells (procedure)
180206004,Intra-arterial blood transfusion (procedure)
39188002,Exchange transfusion (procedure)
341009,ABO incompatibility reaction (disorder)
405008007,Blood transfusion reaction status (observable entity)
82545002,Blood transfusion reaction (disorder)
180202002,Neonatal exchange transfusion (procedure)
405008007,Blood transfusion reaction status (observable entity)
277360004,Massive blood transfusion (procedure)
177086003,Fetoscopic blood transfusion of fetus (procedure)
71493000,Transfusion of packed red blood cells (procedure)
82545002,Blood transfusion reaction (disorder)
287987000,Cut-down blood transfusion (procedure)
33389009,Transfusion of whole blood (procedure)
177086003,Fetoscopic blood transfusion of fetus (procedure)
116859006,Transfusion of blood product (procedure)
288170000,Packed blood cell transfusion (procedure)
301842006,Intravenous blood transfusion (procedure)
309750008,Extravasation due to and following blood transfusion (disorder)
180208003,Intravenous blood transfusion of platelets (procedure)
116863004,Transfusion of red blood cells (procedure)
54790000,Transfusion of blood component (procedure)
425513008,Transfusion of leucoreduced red blood cells (procedure)
180206004,Intra-arterial blood transfusion (procedure)
361106007,Transfusion reaction caused by allergen in blood (disorder)
216954001,Excessive amount of blood / fluid transfusion (event)
180207008,Intravenous blood transfusion of packed cells (procedure)
394819004,Blood transfusion (specialty) (qualifier value)
361106007,Transfusion reaction caused by allergen in blood (disorder)
7081006,Transfusion reaction caused by toxic substance in blood (disorder)
177086003,Fetoscopic blood transfusion of fetus (procedure)
307342006,Thrombocytopenia due to massive blood transfusion (disorder)
71493000,Transfusion of packed red blood cells (procedure)
233561008,Percutaneous intravascular fetal blood transfusion (procedure)
722586005,Polycythemia neonatorum following blood transfusion (disorder)
58738001,Transfusion reaction due to faulty storage of blood (disorder)
7081006,Transfusion reaction caused by toxic substance in blood (disorder)
806801000000105,Blood product transfusion adverse reaction detected (finding)
233561008,Percutaneous intravascular fetal blood transfusion (procedure)
722586005,Polycythemia neonatorum following blood transfusion (disorder)
309750008,Extravasation due to and following blood transfusion (disorder)
233560009,Percutaneous intraperitoneal fetal blood transfusion (procedure)
7081006,Transfusion reaction caused by toxic substance in blood (disorder)
405008007,Blood transfusion reaction status (observable entity)
216954001,Excessive amount of blood / fluid transfusion (event)
233560009,Percutaneous intraperitoneal fetal blood transfusion (procedure)
180208003,Intravenous blood transfusion of platelets (procedure)
302721000000105,Too soon after blood transfusion for reliable screening (finding)
425513008,Transfusion of leucoreduced red blood cells (procedure)
7081006,Transfusion reaction caused by toxic substance in blood (disorder)
180207008,Intravenous blood transfusion of packed cells (procedure)
361106007,Transfusion reaction caused by allergen in blood (disorder)
307342006,Thrombocytopenia due to massive blood transfusion (disorder)
871554001,Non-allergic anaphylaxis due to transfusion of blood product (disorder)
806801000000105,Blood product transfusion adverse reaction detected (finding)
143101000119101,Hemochromatosis following repeated red blood cell transfusion (disorder)
233561008,Percutaneous intravascular fetal blood transfusion (procedure)
143101000119101,Hemochromatosis following repeated red blood cell transfusion (disorder)
58738001,Transfusion reaction due to faulty storage of blood (disorder)
722586005,Polycythemia neonatorum following blood transfusion (disorder)
309750008,Extravasation due to and following blood transfusion (disorder)
233560009,Percutaneous intraperitoneal fetal blood transfusion (procedure)
277145006,Transfusion reaction due to blood group antibody-antigen mismatch (disorder)
302721000000105,Too soon after blood transfusion for reliable screening (finding)
7081006,Transfusion reaction caused by toxic substance in blood (disorder)
871554001,Non-allergic anaphylaxis due to transfusion of blood product (disorder)
143101000119101,Hemochromatosis following repeated red blood cell transfusion (disorder)
277145006,Transfusion reaction due to blood group antibody-antigen mismatch (disorder)
947971000000107,"Sickle cell screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
950481000000104,"Homocystinuria screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
947121000000106,"Cystic fibrosis screening,sample taken too soon after blood transfusion (less than 72 hours) (finding)"
946161000000101,"Phenylketonuria screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
951241000000103,"Isovaleric acidaemia screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
947971000000107,"Sickle cell screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
947121000000106,"Cystic fibrosis screening,sample taken too soon after blood transfusion (less than 72 hours) (finding)"
950481000000104,"Homocystinuria screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
951981000000103,"Glutaric aciduria type 1 screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
946161000000101,"Phenylketonuria screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
948441000000107,"Congenital hypothyroidism screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
949581000000109,"Maple syrup urine disease screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
951241000000103,"Isovaleric acidaemia screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
1240021000000100,"Severe combined immunodeficiency screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
951981000000103,"Glutaric aciduria type 1 screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
948441000000107,"Congenital hypothyroidism screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
949581000000109,"Maple syrup urine disease screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
1240021000000100,"Severe combined immunodeficiency screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
1240021000000100,"Severe combined immunodeficiency screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
948861000000105,"Medium-chain acyl-coenzyme A dehydrogenase deficiency screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
948861000000105,"Medium-chain acyl-coenzyme A dehydrogenase deficiency screening, sample taken too soon after blood transfusion (less than 72 hours) (finding)"
